Target_Row,State,Strain,HIV,Age,Target,Current,Round
0,HPV,LOW_RISK,NORMAL,<25,5.5,0.9787476709389644,0
1,HPV,LOW_RISK,NORMAL,25_30,5.5,0.9932087435341231,1
2,HPV,LOW_RISK,NORMAL,30_35,5.2,1.1850366229760987,2
3,HPV,LOW_RISK,NORMAL,35_40,7.5,1.6313312609812136,3
4,HPV,LOW_RISK,NORMAL,40_45,4.0,0.7238719780757562,4
5,HPV,LOW_RISK,NORMAL,45_50,5.1,2.3878877949099016,5
6,HPV,LOW_RISK,NORMAL,50_60,5.1,1.7580957562568007,6
7,HPV,LOW_RISK,NORMAL,60+,5.1,3.012497650817515,7
8,HPV,HIGH_RISK,NORMAL,<25,6.53,1.0430305253060994,0
9,HPV,HIGH_RISK,NORMAL,25_30,5.6,1.3233377541998232,1
10,HPV,HIGH_RISK,NORMAL,30_35,7.04,2.098311588641596,2
11,HPV,HIGH_RISK,NORMAL,35_40,5.39,1.18243154158215,5
12,HPV,HIGH_RISK,NORMAL,40_45,8.46,3.32149891157873,8
13,HPV,HIGH_RISK,NORMAL,45_50,5.78,0.9273575540996626,10
14,HPV,HIGH_RISK,NORMAL,50_60,8.15,2.9284179507643193,13
15,HPV,HIGH_RISK,NORMAL,60+,8.15,2.9951659931454295,17
16,HPV,SIXTEEN,NORMAL,<25,3.78,1.0848114314876243,0
17,HPV,SIXTEEN,NORMAL,25_30,3.49,1.516750423489554,1
18,HPV,SIXTEEN,NORMAL,30_35,3.85,1.7636023622047243,2
19,HPV,SIXTEEN,NORMAL,35_40,4.05,1.7813382967132738,5
20,HPV,SIXTEEN,NORMAL,40_45,3.92,1.7580115728563914,8
21,HPV,SIXTEEN,NORMAL,45_50,3.42,1.6772199919710957,10
22,HPV,SIXTEEN,NORMAL,50_60,4.16,2.3293091204220353,13
23,HPV,SIXTEEN,NORMAL,60+,4.16,2.7444216990788126,17
24,HPV,EIGHTEEN,NORMAL,<25,0.99,1.0253678414096916,0
25,HPV,EIGHTEEN,NORMAL,25_30,0.91,0.5789732386673949,1
26,HPV,EIGHTEEN,NORMAL,30_35,1.01,1.5176623376623377,2
27,HPV,EIGHTEEN,NORMAL,35_40,1.06,1.3291004672897198,5
28,HPV,EIGHTEEN,NORMAL,40_45,1.03,1.5397435897435896,8
29,HPV,EIGHTEEN,NORMAL,45_50,0.9,1.0942674418604652,10
30,HPV,EIGHTEEN,NORMAL,50_60,1.09,1.098169014084507,13
31,HPV,EIGHTEEN,NORMAL,60+,1.09,1.6731964944649447,17
32,CIN23,HIGH_RISK,NORMAL,<35,0.27,0.6251781472684085,3
33,CIN23,HIGH_RISK,NORMAL,35_40,0.276,0.2196522655426765,6
34,CIN23,HIGH_RISK,NORMAL,40_45,0.345,0.5841423948220064,9
35,CIN23,HIGH_RISK,NORMAL,45_50,0.315,0.14653878231859885,11
36,CIN23,HIGH_RISK,NORMAL,50_55,0.258,0.5555555555555555,14
37,CIN23,HIGH_RISK,NORMAL,55_60,0.294,0.11507876969242307,15
38,CIN23,HIGH_RISK,NORMAL,60+,0.369,0.2535450997398092,18
39,CIN23,SIXTEEN,NORMAL,<35,0.585,1.1359743954480797,3
40,CIN23,SIXTEEN,NORMAL,35_40,0.598,0.22798871216008204,6
41,CIN23,SIXTEEN,NORMAL,40_45,0.7475,1.1734615384615386,9
42,CIN23,SIXTEEN,NORMAL,45_50,0.6825,0.15697954271961495,11
43,CIN23,SIXTEEN,NORMAL,50_55,0.559,0.7130303030303031,14
44,CIN23,SIXTEEN,NORMAL,55_60,0.637,0.21548152295632697,15
45,CIN23,SIXTEEN,NORMAL,60+,0.7995,0.3582899628252788,18
46,CIN23,EIGHTEEN,NORMAL,<35,0.045,0.8301282051282052,3
47,CIN23,EIGHTEEN,NORMAL,35_40,0.046,0.18787878787878787,6
48,CIN23,EIGHTEEN,NORMAL,40_45,0.0575,0.5136363636363637,9
49,CIN23,EIGHTEEN,NORMAL,45_50,0.0525,0.17977272727272725,11
50,CIN23,EIGHTEEN,NORMAL,50_55,0.043,0.6,14
51,CIN23,EIGHTEEN,NORMAL,55_60,0.049,0.19607843137254904,15
52,CIN23,EIGHTEEN,NORMAL,60+,0.0615,0.22678868552412645,18
53,CANCER,ALL,NORMAL,20_30,2.0,1.6106879606879607,4
54,CANCER,ALL,NORMAL,30_40,15.0,1.439083490968436,7
55,CANCER,ALL,NORMAL,40_50,45.0,1.7180192377375894,12
56,CANCER,ALL,NORMAL,50_60,65.0,2.504212299915754,16
57,CANCER,ALL,NORMAL,60_70,60.0,2.210449646345571,19
58,CANCER,ALL,NORMAL,70+,36.0,0.9182507680491552,20
