age,high_risk
10,0.73
11,0.85
12,0.97
13,1.13
14,1.31
15,1.5
16,1.72
17,1.99
18,2.3
19,2.64
20,3.05
21,3.46
22,4.0
23,4.55
24,5.23
25,5.97
26,6.8
27,7.76
28,8.83
29,9.99
30,11.29
31,12.74
32,14.33
33,16.06
34,17.94
35,19.96
36,22.08
37,24.32
38,26.72
39,29.19
40,31.7
41,34.33
42,36.92
43,39.49
44,42.03
45,44.56
46,46.93
47,49.26
48,51.47
49,53.53
50,55.45
51,57.24
52,58.88
53,60.38
54,61.72
55,62.99
56,64.06
57,65.05
58,65.93
59,66.73
60,67.4
61,68.02
62,68.54
63,69.01
64,69.44
65,69.78
66,70.12
67,70.4
68,70.61
69,70.83
70,71.02
71,71.17
72,71.33
73,71.45
74,71.54
75,71.64
