age,eighteen,high_risk,low_risk,sixteen
10,0.22,2.22,0.76,0.52
11,0.24,4.67,1.28,0.68
12,0.27,7.19,2.31,1.09
13,0.3,11.67,4.69,2.36
14,0.33,22.84,7.76,4.69
15,0.38,59.66,12.26,13.13
16,0.62,85.87,16.77,20.73
17,1.49,113.0,21.54,23.22
18,1.49,113.74,26.4,23.14
19,1.49,102.31,31.15,21.19
20,2.31,100.06,33.48,20.24
21,13.02,97.54,34.1,18.78
22,13.54,93.88,34.32,17.01
23,13.54,87.77,34.05,14.79
24,13.54,73.83,33.4,12.56
25,13.54,51.77,30.9,10.34
26,13.4,46.83,25.8,9.96
27,10.72,45.2,23.82,9.78
28,9.2,44.09,22.63,9.6
29,7.6,42.81,21.43,9.43
30,5.43,41.57,21.03,9.25
31,4.64,40.62,20.92,9.14
32,4.37,39.29,20.81,9.03
33,4.04,38.58,20.7,8.93
34,3.88,37.69,20.65,8.82
35,3.72,36.87,20.54,8.71
36,3.61,36.6,20.43,8.6
37,3.61,36.44,20.27,8.55
38,3.5,36.11,19.83,8.44
39,3.5,35.95,19.51,8.38
40,3.5,35.68,18.88,8.28
41,3.55,35.52,17.55,8.22
42,3.55,35.41,15.66,8.11
43,3.66,35.19,13.86,7.95
44,3.77,34.92,12.43,7.79
45,3.88,34.59,11.37,7.62
46,4.1,34.27,10.55,7.46
47,4.26,33.83,9.85,7.3
48,4.53,33.4,9.2,7.19
49,5.02,32.86,8.6,7.03
50,5.78,32.31,8.14,6.89
51,6.32,31.72,7.85,6.75
52,6.7,31.07,7.55,6.61
53,7.03,30.36,7.26,6.47
54,7.3,29.6,6.97,6.33
55,7.46,28.79,6.67,6.19
56,7.52,27.97,6.38,6.05
57,7.68,27.05,6.09,5.94
58,7.68,26.13,5.8,5.83
59,7.57,25.18,5.5,5.67
60,7.41,24.12,5.21,5.56
61,7.19,23.06,4.92,5.45
62,6.86,21.92,4.62,5.34
63,6.48,20.73,4.33,5.24
64,6.05,19.48,4.04,5.14
65,5.18,18.53,3.74,5.04
66,4.59,17.83,3.66,4.94
67,4.1,17.72,3.58,4.84
68,3.66,17.5,3.49,4.73
69,3.28,17.23,3.41,4.63
70,2.96,16.96,3.32,4.53
71,2.74,16.74,3.24,4.42
72,2.47,16.47,3.16,4.31
73,2.25,16.25,3.07,4.26
74,2.09,16.03,2.99,4.15
75,1.93,15.82,2.9,4.04
